chaper name,chapter number,chapter url,chapter date,manga fk
Audition privée,114,DBBG3W2,2023-04-05,1
Rôle,115,UqRmcHQ,2023-04-12,1
Responsabilité,116,prb8Y4R,2023-04-26,1
Un visiteur venu de l'est,1,?,2021-04-30,2
Prélude à la tempête,2,?,2021-05-01,2
Visiteur crépusculaire,3,?,2021-05-03,2
CACC,4,?,2021-08-15,2
Une heureuse rencontre,5,?,2021-10-23,2
Le danseur,6,?,2021-11-06,2
"Nous nous nommons ""Comte Dracula""",7,?,2022-01-02,2
Le fantôme aux cheveux roux du collège Whitby,8,?,2022-01-10,2
"Après le beau temps, l'orage !",9,?,2022-02-22,2
La mariée du crépuscule,10,?,2022-09-07,2
Imposture,11,?,2022-09-11,2
Le fils du dragon,12,?,2022-11-13,2
Pas de deux,13,?,2022-11-13,2
Chaos,14,?,2022-11-15,2
Vol de nuit,15,?,2023-01-19,2
Prologue,0,?,2021-04-29,3
"Deux jaunes d'œufs, ça te va ?",1,?,2021-04-29,3
Clac clac,2,?,2021-04-29,3
Premières impressions,3,?,2021-04-29,3
Après la pause déjeuner (partie 1),4,?,2021-04-29,3
Après la pause déjeuner (partie 2),5,?,2021-04-29,3
À demain,6,?,2021-04-29,3
?,6.5,?,2021-04-29,3
De jolies jambes,7,?,2021-04-30,3
Promesse,8,?,2021-04-30,3
?,-1,?,2021-12-12,4
Une douche dans une ville de néons,1,?,2022-07-09,5
Désastre en limousine,2,?,2022-07-09,5
Sous les décombres,3,?,2022-07-09,5
Dans la chambre d’un chic type,4,?,2022-07-09,5
La fin d’une légende urbaine,5,?,2022-07-09,5
Un regard par la fenêtre d’un restaurant familial,6,?,2022-07-09,5
La fille d’aujourd’hui,7,?,2022-07-09,5
La grande migration des corbeaux,8,?,2022-07-09,5
Les enfants perdus,121,?,2022-12-26,29
Une nouvelle ombre,120,?,2022-12-19,29
L'ultime parade,119,?,2022-12-10,29
Désirs à l'unisson,118,?,2022-12-05,29
Les cheveux de Kaerikuro,117,?,2022-11-27,29
Contagion,116,?,2022-11-19,29
Tout ça pour ça,115,?,2022-11-13,29
Les salles de banquet,114,?,2022-11-05,29
Souvenirs de ce soir-là,113,?,2022-11-01,29
Cette nuit-là,112,?,2022-10-24,29
Yomiza,111,?,2022-10-15,29
Lointains souvenirs,110,?,2022-10-08,29
L'histoire de Deido,109,?,2022-10-01,29
Deido et Kurenai,108,?,2022-09-24,29
L'ultime bataille des suvivants,107,?,2022-09-24,29
Matérialisation,106,?,2022-09-10,29
Douze secondes immobiles,105,?,2022-09-04,29
Bataille sur le parvis de Souboutei,104,?,2022-08-28,29
En direct de Souboutei,103,?,2022-08-20,29
Pourquoi ne pas l'avoir dit ?!,102,?,2022-08-13,29
Préparatifs,101,?,2022-08-08,29
Pas assez,100,?,2022-08-01,29
Évasion,99,?,2022-08-01,29
Initiative,98,?,2022-08-01,29
Bouleversement,97,?,2022-07-09,29
Les survivants,96,?,2022-07-05,29
À l'Hôpital Central de Hiryuu,95,?,2022-06-25,29
Modèle,94,?,2022-06-18,29
Cette voix que tu refusais d'entendre,93,?,2022-06-11,29
Dans le portrait de Seiichi,92,?,2022-06-04,29
Par ma faute,91,?,2022-05-28,29
Dans le cœur de Seiichi,90,?,2022-05-21,29
